bill_id,bill_name
010459,양곡정책수립에관한결의안
010460,지방치안실태조사급순회보도강연에관한결의안
010461,대한경제원조안통과요청「멧세이지」발송의건
010462,미국에국회의원파견에관한결의안
010463,대한경제원조안통과에대한감사「멧세이지」발송의건
010464,강기문의원석방요구에관한결의안
010465,회기연기에관한결의안
010466,공무원처우개선대책에관한결의안
010467,행정각부간의외곽단체및후생기관정비통합에관한결의안
010468,오월선거추진에관한결의안
010469,대한경제원조안통과에대한감사「멧세이지」발송의건
010470,방미의원단환대에관한「멧세이지」발송의건
010471,「마라톤」우승에대한감사축전발송의건
010472,국무총리서리임명통지반환에관한건
010473,회기연기에관한결의안
010474,정부보유미판매가격에관한결의안
010475,울릉도어선피습사건대책의건
010476,「올림픽」대회파견선수단에게보내는격려문발송및환송에관한건
010477,헌법초안을각의원이숙독연구하기위하여6월26일까지휴회의건
010478,헌법의의결은재적의원3분지2이상의찬성으로결정할것의긴급동의
010479,고이준선생추도에관한건
010480,대통령과부통령선거일결정에관한건
010481,대통령과부통령선거절차에관한건
010482,7월21일부터26일까지휴회의건
010483,국무총리임명승인요청서제출에관한건
010484,고이동녕선생김구선생대부인유골환국에대한조위의건
010485,미주둔사령관「하-지」중장귀국전송에관한절차결정의건
010486,행정권이양에대한경과보고요청의건
010487,국회내「삐라」살포사건배후관계조사요청의건
010488,유엔총회대표파견에관한대통령의서한회송의건
010489,내판역교통사고로인한미군인사상자에대한조위의건
010490,삼남지방풍수해진상조사단파견의건
010491,고이동녕·차이석양선열장례식에국회대표참석의건
010492,한미협정에관한국회결의반대성명을발표한의원징계위원회회부의건
010493,반민족행위처벌법제9조에의한특별조사위원회구성의건
010494,이문원의원징계위원회재회부의건
010495,고조성환선생장례식에국회대표참석의건
010496,10월15일부터20일간휴회의건
010497,전남반란사건의진상보고요청의건
010498,시국수습대책을합의하기위하여국무위원출석요청의건
010499,국가보안법안폐기에관한동의
010500,곽상훈의원징계에관한건
010501,12월23일부터익년1월10일까지휴회의건
010502,반민족행위특별재판관과검찰관사직서수리에관한건
010503,백천경찰서피습사건조사의건
010504,감찰위원회보고에관한특별조사위원회구성의건(농림부장관비행)
010505,반민족행위처벌법실시와개정에관한대통령담화취소에관한동의
010506,고박찬익선생조위의건
010507,감찰위원회보고에관한특별조사위원회구성의건(상공부장관비행)
010508,반민족행위특별검찰관사직원각하의건
010509,대일교역조정동의여부의법적해석에관한동의
010510,박준의원징계에관한동의
010511,국회의원구타사건에관한조사의건
010512,개성사건부상병위문단파견에관한건
010513,국회급반민족행위특별조사위원회습격시위사건대책에관한동의
010514,김준연의원제명에관한동의
010515,수도경찰행동조사에관한건
010516,고백범김구선생조위에관한건
010517,유엔위원단의결의에관한조사의건
010518,이준열사추도식에대표의원파견의건
010519,시국타개책강구에관한건
010520,여순사건발발1주년합동위령제위문문송부의건
010521,재일동포학교폐쇄에관한긴급동의
010522,서울사범대학부교수장형두변사사건조사의건
010523,군경에대한위문품송정의건
010524,변호사유동준변사사건조사의건
010525,12월23일부터20일간휴회의건
010526,유엔총회경과보고요청의건
010527,징계자격위원보선에관한동의
010528,경북영덕사건조사반파견에관한건
010529,반란지구조사반파견의건(경북영일·영천)
010530,「대한민국기념일」설정에대한감사문발송의건
010531,경북청송사건조사의건
010532,3·1절경축행사에관한동의
010533,공무원처우개선에관한긴급동의
010534,국무총리조속임명에관한동의
010535,대한정치공작대사건조사의건
010536,신탁은행부정대부사건조사의건
010537,4월25일부터5월10일까지휴회의건
010538,의원(이문원)징계에관한건
010539,의원(이문원)징계에관한건
010540,의원(곽상훈)징계에관한건
010541,박준의원징계에관한건
010542,김준연의원제명에관한동의
020001,교원병역징집연기임시조치법안
020002,오물소제법안
020003,방위대법안
020004,비상시향토방위령중(긴급명령제9호)개정법률안
020005,관세법중개정법률안
020006,피난민수용에관한임시조치법안
020007,어업에관한임시조치법중개정법률안
020008,피난민구호에대한임시조치법안
020009,피난민수용에관한임시조치법중개정법률안
020010,경찰원호법안
020011,사형금지법안
020012,부역행위특별처리법안
020013,관기숙청에관한특별조치법안
020014,공무원임시등록법안
020015,관기숙청에관한특별조치법안(대안)
020017,침범지역내금융기관예금에관한특별조치법안
020018,공무원신분에관한특별조치법안
020020,정부조직법중개정법률안
020021,인지세법중개정법률안
020022,면허세법중개정법률안
020023,등록세법안
020024,소득세법중개정법률안
020025,영업세법중개정법률안
020026,입장세법중개정법률안
020027,임시조세조치법중개정법률안
020028,유흥음식세법중개정법률안
020029,전기까스세법중개정법률안
020030,임시조세증징법안
020031,법인세법중개정법률안
020032,물품세법안
020033,마권세법중개정법률안
020034,지적법안
020035,지세법안
020036,정부조직법중개정법률안
020037,전재부흥원설치법안
