bill_id,proposed_date,bill_name
1906877,2013-09-16,장애인복지법 일부개정법률안
1916135,2015-07-17,문화유산과 자연환경자산에 관한 국민신탁법 일부개정법률안
1906902,2013-09-17,한국환경공단법 일부개정법률안
1908517,2013-12-10,외국인근로자의 고용 등에 관한 법률 일부개정법률안
1901084,2012-08-07,대한민국예술원법 일부개정법률안
1906882,2013-09-16,기상산업진흥법 일부개정법률안
1906883,2013-09-16,공인노무사법 일부개정법률안
1906891,2013-09-17,학교보건법 일부개정법률안
1902706,2012-11-21,농어업재해보험법 일부개정법률안(대안)
1906901,2013-09-17,고등교육법 일부개정법률안
1906900,2013-09-17,미디어교육지원법안
1906904,2013-09-17,환경영향평가법 일부개정법률안
1904551,2013-04-17,인신보호법 일부개정법률안
1906907,2013-09-17,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
1909226,2014-02-04,새만금사업 추진 및 지원에 관한 특별법 일부개정법률안
1902264,2012-10-23,후견등기에 관한 법률안
1906912,2013-09-17,주민등록법 일부개정법률안
1906913,2013-09-17,독립유공자예우에 관한 법률 일부개정법률안
1906914,2013-09-17,작은도서관 진흥법 일부개정법률안
1906916,2013-09-17,대통령기록물 관리에 관한 법률 일부개정법률안
1918390,2015-12-31,전기사업법 일부개정법률안(대안)
1918393,2015-12-31,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안(대안)
1918399,2015-12-31,통계법 일부개정법률안(대안)
1906919,2013-09-17,주택임대차보호법 일부개정법률안
1906920,2013-09-17,제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법 일부개정법률안
1906923,2013-09-23,고등교육법 일부개정법률안
1918364,2015-12-31,석면안전관리법 일부개정법률안(대안)
1906924,2013-09-23,학교보건법 일부개정법률안
1907214,2013-10-08,국가정보원법 전부개정법률안
1906925,2013-09-23,형법 일부개정법률안
1918365,2015-12-31,화학물질관리법 일부개정법률안(대안)
1906927,2013-09-23,특정범죄 가중처벌 등에 관한 법률 일부개정법률안
1903601,2013-02-04,국책사업국민토론위원회의 설립 및 운영에 관한 법률안
1906928,2013-09-23,경상남도 마산시 설치에 관한 법률안
1901512,2012-09-03,장준하 선생 의문사 진상조사 촉구 대정부 결의안
1918366,2015-12-31,수질 및 수생태계 보전에 관한 법률 일부개정법률안(대안)
1918367,2015-12-31,공인노무사법 일부개정법률안(대안)
1906930,2013-09-23,지하수법 일부개정법률안
1906931,2013-09-23,주택임대차보호법 일부개정법률안
1906933,2013-09-23,교통시설특별회계법 일부개정법률안
1906934,2013-09-23,공직선거법 일부개정법률안
1906935,2013-09-23,방송통신발전 기본법 일부개정법률안
1906936,2013-09-23,정치자금법 일부개정법률안
1906937,2013-09-23,고압가스 안전관리법 일부개정법률안
1906938,2013-09-23,복권 및 복권기금법 일부개정법률안
1906939,2013-09-23,공직자윤리법 일부개정법률안
1906940,2013-09-23,국민영양관리법 일부개정법률안
1900625,2012-07-11,일제강제동원 피해진상조사와 유해봉환 및 지원 등에 관한 법률안
1911601,2014-09-03,경찰관 직무집행법 일부개정법률안
1906944,2013-09-23,수산업법 일부개정법률안
1906946,2013-09-23,근로기준법 일부개정법률안
1909115,2014-01-21,산업기술혁신 촉진법 일부개정법률안
1906947,2013-09-23,산업재해보상보험법 일부개정법률안
1906949,2013-09-24,경제사회발전노사정위원회법 일부개정법률안
1906951,2013-09-24,북한이탈주민의 보호 및 정착지원에 관한 법률 일부개정법률안
1906952,2013-09-24,공직선거법 일부개정법률안
1906954,2013-09-25,공직선거법 일부개정법률안
1906955,2013-09-25,국민체육진흥법 일부개정법률안
1913144,2014-12-22,부정경쟁방지 및 영업비밀보호에 관한 법률 일부개정법률안
1906961,2013-09-25,문화재보호법 일부개정법률안
1906962,2013-09-25,문화예술교육 지원법 일부개정법률안
1906963,2013-09-25,저작권법 일부개정법률안
1906965,2013-09-25,뉴스통신 진흥에 관한 법률 일부개정법률안
1906966,2013-09-25,은행법 일부개정법률안
1908727,2013-12-24,개성공업지구 지원에 관한 법률 일부개정법률안(대안)
1906956,2013-09-25,국민연금법 일부개정법률안
1906969,2013-09-25,신문 등의 진흥에 관한 법률 일부개정법률안
1906970,2013-09-25,평생교육법 일부개정법률안
1906973,2013-09-25,의료법 일부개정법률안
1906974,2013-09-25,울릉도ㆍ독도 지원 특별법안
1906975,2013-09-25,조세특례제한법 일부개정법률안
1906976,2013-09-25,잡지 등 정기간행물의 진흥에 관한 법률 일부개정법률안
1906978,2013-09-25,상법 일부개정법률안
1906968,2013-09-25,직업안정법 일부개정법률안
1906979,2013-09-25,상호저축은행법 일부개정법률안
1913920,2015-02-05,중소기업진흥에 관한 법률 일부개정법률안
1906981,2013-09-25,관광진흥법 일부개정법률안
1906982,2013-09-25,방송통신위원회의 설치 및 운영에 관한 법률 일부개정법률안
1906983,2013-09-25,주택임대차보호법 일부개정법률안
1906985,2013-09-25,도로법 일부개정법률안
1906986,2013-09-25,군 사망사고 진상규명에 관한 특별법안
1906987,2013-09-25,의무복무 중 사망 군인의 예우 및 지원에 관한 특별법안
1906988,2013-09-25,공직자윤리법 일부개정법률안
1906989,2013-09-26,게임산업진흥에 관한 법률 일부개정법률안
1906442,2013-08-20,지하수법 일부개정법률안
1906992,2013-09-26,공항ㆍ항만 주변지역 지원에 관한 법률안
1909476,2014-02-21,전시산업발전법 일부개정법률안
1916192,2015-07-23,119구조·구급에 관한 법률 일부개정법률안
1906994,2013-09-26,한국농어촌공사 및 농지관리기금법 일부개정법률안
1906997,2013-09-26,인터넷 멀티미디어 방송사업법 일부개정법률안
1907000,2013-09-26,관광진흥법 일부개정법률안
1907001,2013-09-26,남북 이산가족 상봉 조속 재개 촉구 결의안
DD01480,2015-11-25,화학물질의 등록 및 평가 등에 관한 법률 일부개정법률안(대안)
DD01481,2015-11-25,환경기술 및 환경산업 지원법 일부개정법률안(대안)
1901607,2012-09-06,채무자 회생 및 파산에 관한 법률 일부개정법률안
DD01540,2015-11-27,집회 및 시위에 관한 법률 일부개정법률안(대안)
1906443,2013-08-20,건축법 일부개정법률안
DD01541,2015-11-27,소방시설 설치·유지 및 안전관리에 관한 법률 일부개정법률안(대안)
1907002,2013-09-26,방송법 일부개정법률안
DD01543,2015-11-27,위험물안전관리법 일부개정법률안(대안)
1918384,2015-12-31,변리사법 일부개정법률안(대안)
1918385,2015-12-31,소상공인 보호 및 지원에 관한 법률 일부개정법률안(대안)
1918386,2015-12-31,석탄산업법 일부개정법률안(대안)
1907004,2013-09-27,양곡관리법 일부개정법률안
1918387,2015-12-31,전시산업발전법 일부개정법률안(대안)
1907010,2013-09-27,고속국도법 일부개정법률안
1907011,2013-09-27,공인회계사법 일부개정법률안
1907012,2013-09-27,폐기물관리법 일부개정법률안
1901867,2012-09-19,평생교육법 일부개정법률안
1918389,2015-12-31,중소기업협동조합법 일부개정법률안(대안)
1907015,2013-09-27,건축물의 분양에 관한 법률 일부개정법률안
1907013,2013-09-27,변리사법 일부개정법률안
1907017,2013-09-27,대통령기록물 관리에 관한 법률 일부개정법률안
1907024,2013-09-27,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
1912889,2014-12-08,외국인투자 촉진법 일부개정법률안
1916498,2015-08-20,민방위기본법 일부개정법률안
1901087,2012-08-07,도시공원 및 녹지 등에 관한 법률 일부개정법률안
1907023,2013-09-27,토지이용규제 기본법 일부개정법률안
ZZ19090,2013-11-18,사학분쟁조정위원회 위원 추천의 건
1907018,2013-09-27,대한적십자사 조직법 일부개정법률안
1917077,2015-10-06,유통산업발전법 일부개정법률안
1907029,2013-09-27,체육시설의 설치·이용에 관한 법률 일부개정법률안
1907030,2013-09-27,국회법 일부개정법률안
1907027,2013-09-27,지방재정법 일부개정법률안
1907026,2013-09-27,지방자치단체 기금관리기본법 일부개정법률안
1907031,2013-09-27,여신전문금융업법 일부개정법률안
1907032,2013-09-27,약관의 규제에 관한 법률 일부개정법률안
1906550,2013-08-27,중소기업기본법 일부개정법률안
1907035,2013-09-27,국유재산특례제한법 일부개정법률안
1907036,2013-09-27,공인노무사법 일부개정법률안
1907037,2013-09-27,국무총리 및 국무위원 출석요구의 건(교섭단체 대표연설)
1907038,2013-09-30,국가를 당사자로 하는 계약에 관한 법률 일부개정법률안
1907039,2013-09-30,산업안전보건법 일부개정법률안
1907040,2013-09-30,공직선거법 일부개정법률안
1904533,2013-04-16,가족관계의 등록 등에 관한 법률 일부개정법률안
1910034,2014-04-03,장애인기업활동 촉진법 일부개정법률안
1907044,2013-09-30,소비자생활협동조합법 일부개정법률안
1907046,2013-09-30,자격기본법 일부개정법률안
1907047,2013-09-30,국가기술자격법 일부개정법률안
1907045,2013-09-30,관광진흥법 일부개정법률안
1916154,2015-07-20,중소기업 기술혁신 촉진법 일부개정법률안
1917120,2015-10-08,전력기술관리법 일부개정법률안
1917143,2015-10-12,산업기술단지 지원에 관한 특례법 일부개정법률안
1907051,2013-09-30,산업교육진흥 및 산학연협력촉진에 관한 법률 일부개정법률안
1907061,2013-09-30,소득세법 일부개정법률안
1907056,2013-09-30,관세법 일부개정법률안
1907049,2013-09-30,유통산업발전법 일부개정법률안
1907057,2013-09-30,자유무역협정의 이행을 위한 관세법의 특례에 관한 법률 전부개정법률안
1907063,2013-09-30,국민체육진흥법 일부개정법률안
1907064,2013-09-30,조세범 처벌법 일부개정법률안
1907070,2013-09-30,소득세법 일부개정법률안
1907071,2013-09-30,국세기본법 일부개정법률안
